iter	Passed	Remaining
0	55	55781
1	56	28077
2	56	18795
3	56	14162
4	57	11377
5	57	9522
6	57	8195
7	58	7199
8	58	6428
9	58	5810
10	59	5306
11	59	4883
12	59	4527
13	60	4230
14	60	3966
15	60	3732
16	60	3525
17	61	3352
18	61	3190
19	62	3042
20	62	2910
21	62	2791
22	63	2680
23	63	2579
24	63	2484
25	63	2396
26	64	2318
27	64	2248
28	65	2184
29	65	2122
30	66	2064
31	66	2010
32	66	1960
33	67	1911
34	67	1865
35	68	1820
36	68	1780
37	68	1743
38	69	1705
39	69	1670
40	69	1636
41	70	1604
42	70	1575
43	71	1546
44	71	1517
45	71	1490
46	72	1464
47	72	1440
48	72	1415
49	73	1393
50	73	1371
51	74	1360
52	75	1341
53	75	1322
54	75	1303
55	76	1284
56	76	1265
57	77	1255
58	77	1238
59	78	1223
60	78	1208
61	78	1193
62	79	1179
63	79	1165
64	80	1150
65	80	1137
66	80	1125
67	81	1112
68	81	1099
69	81	1087
70	82	1076
71	82	1065
72	83	1054
73	83	1043
74	83	1032
75	84	1022
76	84	1011
77	84	1002
78	85	998
79	85	988
80	86	984
81	87	976
82	87	965
83	87	955
84	87	946
85	88	938
86	88	929
87	88	921
88	89	913
89	89	907
90	90	900
91	90	892
92	90	884
93	91	877
94	91	869
95	91	862
96	92	857
97	92	851
98	92	844
99	93	837
100	93	830
101	93	824
102	93	818
103	94	811
104	94	805
105	94	799
106	95	793
107	95	787
108	95	781
109	95	775
110	96	770
111	96	765
112	96	759
113	97	754
114	97	749
115	97	744
116	97	739
117	98	738
118	99	734
119	99	729
120	99	725
121	100	719
122	100	715
123	100	711
124	101	707
125	101	703
126	101	699
127	102	695
128	102	692
129	102	688
130	103	685
131	103	681
132	104	677
133	104	675
134	104	672
135	105	668
136	105	665
137	106	662
138	106	659
139	106	656
140	107	654
141	107	650
142	108	648
143	108	645
144	108	642
145	109	639
146	109	636
147	110	633
148	110	631
149	110	628
150	111	624
151	111	622
152	111	619
153	112	616
154	112	614
155	112	611
156	113	608
157	113	605
158	114	603
159	114	601
160	114	598
161	115	595
162	115	593
163	115	591
164	116	588
165	116	585
166	117	583
167	117	581
168	117	578
169	118	576
170	118	574
171	118	572
172	119	569
173	120	569
174	120	567
175	120	565
176	121	563
177	121	561
178	121	559
179	122	557
180	123	556
181	123	555
182	123	553
183	124	551
184	124	549
185	125	547
186	125	545
187	125	543
188	126	541
189	126	539
190	126	536
191	127	534
192	127	532
193	127	531
194	128	529
195	128	527
196	128	525
197	129	523
198	129	521
199	129	519
200	130	517
201	130	515
202	130	513
203	131	511
204	131	509
205	131	507
206	131	505
207	132	503
208	132	501
209	132	499
210	133	498
211	133	496
212	133	494
213	134	492
214	134	490
215	134	489
216	135	487
217	135	485
218	135	484
219	136	482
220	136	480
221	136	479
222	136	477
223	137	475
224	137	473
225	137	472
226	138	470
227	138	469
228	138	467
229	139	465
230	139	463
231	139	462
232	139	460
233	140	458
234	140	457
235	140	455
236	140	453
237	141	452
238	141	450
239	141	449
240	142	447
241	142	446
242	142	444
243	143	443
244	143	441
245	143	440
246	144	439
247	144	438
248	144	436
249	145	435
250	145	434
251	145	432
252	146	431
253	146	429
254	146	428
255	147	427
256	147	425
257	147	424
258	147	423
259	148	421
260	148	420
261	148	419
262	149	417
263	149	416
264	149	415
265	150	414
266	150	413
267	150	412
268	151	410
269	151	409
270	151	408
271	152	407
272	152	406
273	152	405
274	153	404
275	153	402
276	154	402
277	154	401
278	155	401
279	155	400
280	155	399
281	156	398
282	156	397
283	157	395
284	157	395
285	157	394
286	158	393
287	158	392
288	159	391
289	159	390
290	159	389
291	160	388
292	160	387
293	160	386
294	161	385
295	161	384
296	161	383
297	162	382
298	162	381
299	163	380
300	163	379
301	163	378
302	164	377
303	164	376
304	165	376
305	165	375
306	165	374
307	166	373
308	166	372
309	166	371
310	167	370
311	167	369
312	167	368
313	168	367
314	168	366
315	169	365
316	169	365
317	169	364
318	170	363
319	170	362
320	170	361
321	171	360
322	171	360
323	172	359
324	172	358
325	172	357
326	173	356
327	173	355
328	174	355
329	174	354
330	174	353
331	175	352
