iter	Passed	Remaining
0	56	56702
1	57	28472
2	57	19074
3	57	14364
4	58	11562
5	58	9685
6	58	8341
7	59	7329
8	59	6542
9	59	5910
10	60	5394
11	60	4964
12	60	4601
13	60	4286
14	61	4017
15	61	3785
16	61	3583
17	62	3402
18	62	3235
19	62	3083
20	63	2945
21	63	2824
22	63	2712
23	64	2611
24	64	2519
25	64	2434
26	65	2354
27	65	2278
28	65	2206
29	66	2140
30	66	2078
31	66	2021
32	67	1968
33	67	1918
34	67	1870
35	68	1824
36	68	1781
37	68	1741
38	69	1703
39	69	1668
40	69	1632
41	70	1597
42	70	1565
43	70	1534
44	70	1503
45	71	1476
46	71	1447
47	71	1421
48	71	1396
49	72	1371
50	72	1349
51	72	1329
52	73	1307
53	73	1287
54	73	1266
55	74	1247
56	74	1228
57	74	1210
58	74	1193
59	75	1176
60	75	1160
61	75	1144
62	75	1129
63	76	1114
64	76	1099
65	76	1086
66	77	1073
67	77	1058
68	77	1046
69	77	1034
70	78	1023
71	78	1012
72	78	1001
73	79	993
74	79	983
75	80	973
76	80	962
77	80	952
78	80	942
79	81	932
80	81	923
81	81	914
82	82	906
83	82	896
84	82	886
85	82	878
86	82	868
87	83	860
88	83	852
89	83	844
90	83	837
91	84	830
92	84	823
93	84	816
94	84	809
95	85	802
96	85	795
97	85	789
98	86	782
99	86	776
100	86	771
101	86	764
102	87	758
103	87	752
104	87	747
105	88	742
106	88	737
107	88	732
108	88	727
109	89	722
110	89	717
111	89	712
112	90	707
113	90	702
114	90	697
115	90	693
116	91	688
117	91	683
118	91	678
119	91	674
120	92	670
121	92	666
122	92	660
123	92	656
124	93	652
125	93	648
126	93	645
127	94	640
128	94	637
129	94	634
130	95	630
131	95	626
132	95	622
133	95	618
134	96	615
135	96	612
136	96	608
137	96	604
138	97	601
139	97	598
140	97	595
141	98	592
142	98	588
143	98	585
144	98	582
145	99	579
146	99	576
147	99	573
148	99	570
149	100	568
150	100	565
151	100	562
152	101	559
153	101	556
154	101	553
155	101	551
156	102	548
157	102	545
158	102	543
159	103	541
160	103	538
161	103	536
162	103	533
163	104	531
164	104	528
165	104	526
166	105	523
167	105	521
168	105	519
169	105	516
170	106	514
171	106	512
172	106	510
173	107	508
174	107	506
175	107	504
176	107	502
177	108	499
178	108	498
179	108	496
180	109	493
181	109	492
182	109	490
183	110	488
184	110	486
185	110	485
186	111	483
187	111	481
188	111	479
189	112	477
190	112	475
191	112	474
192	112	472
193	113	470
194	113	469
195	113	467
196	114	465
197	114	463
198	114	462
199	115	460
200	115	458
201	115	456
202	115	455
203	116	453
204	116	452
205	116	450
206	117	449
207	117	447
208	117	445
209	118	444
210	118	442
211	118	441
212	119	439
213	119	438
214	119	436
215	119	435
216	120	434
217	120	432
218	121	431
219	121	430
220	121	429
221	122	427
222	122	426
223	122	424
224	122	423
225	123	422
226	123	420
227	123	418
228	124	417
229	124	416
230	124	415
231	125	414
232	125	412
233	125	411
234	125	410
235	126	408
236	126	407
237	126	406
238	127	405
239	127	404
240	127	402
241	128	401
242	128	400
243	128	399
244	129	397
245	129	396
246	129	395
247	130	394
248	130	392
249	130	391
250	130	390
251	131	389
252	131	388
253	131	387
254	132	386
255	132	385
256	132	384
257	133	383
258	133	382
259	133	381
260	134	379
261	134	378
262	134	377
263	135	376
264	135	375
265	135	374
266	135	373
267	136	372
268	136	371
269	136	370
270	137	369
271	137	368
272	137	367
273	138	366
274	138	365
275	138	364
276	139	363
277	139	362
278	139	361
279	140	360
280	140	359
281	140	358
282	141	357
283	141	356
284	141	355
285	142	354
286	142	353
287	142	352
288	142	351
289	143	350
290	143	350
291	144	349
292	144	348
293	144	347
294	145	346
295	145	345
296	145	344
297	145	343
298	146	343
299	146	342
300	146	341
301	147	340
302	147	339
303	148	338
304	148	337
305	148	336
306	148	335
307	149	335
308	149	333
309	149	333
310	149	332
311	150	331
312	150	330
313	151	329
314	151	329
315	151	328
316	151	327
317	152	326
318	152	325
319	152	324
320	153	323
321	153	323
322	153	322
323	154	321
324	154	320
325	154	320
326	155	319
327	155	318
328	155	317
329	155	316
330	156	315
331	156	315
332	156	314
333	157	313
334	157	312
335	157	312
336	158	311
337	158	310
338	159	310
339	159	309
340	159	308
341	159	307
342	160	307
343	160	306
344	160	305
345	161	304
346	161	304
347	161	303
348	162	302
349	162	301
350	162	300
351	163	300
352	163	299
353	163	298
354	163	297
355	164	297
356	164	296
357	164	295
358	165	294
359	165	294
360	165	293
361	166	292
362	166	292
363	166	291
364	167	290
365	167	290
366	167	289
367	168	288
368	168	287
369	168	287
370	168	286
371	169	285
372	169	285
373	170	284
374	170	283
375	170	283
376	171	282
377	171	281
378	171	281
379	171	280
380	172	280
381	172	279
382	172	278
383	173	277
384	173	277
385	173	276
386	174	275
387	174	275
388	174	274
389	175	273
390	175	273
391	175	272
392	176	272
393	176	271
394	176	270
395	177	270
396	177	269
397	177	269
398	178	268
399	178	267
400	178	267
401	179	266
402	179	265
403	179	265
404	180	264
405	180	263
406	180	263
407	180	262
408	181	262
409	181	261
410	182	260
411	182	260
412	182	259
413	183	259
414	183	258
415	183	257
416	184	257
417	184	256
418	184	256
419	184	255
420	185	254
421	185	254
422	185	253
423	186	252
424	186	252
425	186	251
426	186	250
427	187	249
428	187	249
429	187	248
430	187	247
431	187	247
432	188	246
433	188	245
434	188	245
435	189	244
436	189	243
437	189	243
438	189	242
439	190	241
440	190	241
441	190	240
442	190	239
443	191	239
444	191	238
445	191	238
446	191	237
447	192	236
448	192	236
449	192	235
450	192	234
451	193	234
452	193	233
453	193	232
454	193	232
455	194	231
456	194	230
457	194	230
458	194	229
459	195	229
460	195	228
461	195	227
462	195	227
463	196	226
464	196	225
465	196	225
466	196	224
467	197	224
468	197	223
469	197	222
470	197	222
471	198	221
472	198	221
473	198	220
474	198	219
475	199	219
476	199	218
477	199	218
478	199	217
479	200	216
480	200	216
481	200	215
482	200	215
483	201	214
484	201	213
485	201	213
486	201	212
487	202	212
488	202	211
489	202	211
490	203	210
491	203	209
492	203	209
493	203	208
494	203	208
495	204	207
496	204	206
497	204	206
498	205	205
499	205	205
500	205	204
501	205	204
502	205	203
503	206	202
504	206	202
505	206	201
506	206	201
507	207	200
508	207	200
509	207	199
510	207	198
511	208	198
512	208	197
513	208	197
514	208	196
515	209	196
516	209	195
517	209	195
518	209	194
519	210	193
520	210	193
521	210	192
522	210	192
523	211	191
524	211	191
525	211	190
526	211	190
527	212	189
528	212	189
529	212	188
530	212	187
531	213	187
532	213	186
533	213	186
534	213	185
535	213	185
536	214	184
537	214	184
538	214	183
539	214	183
540	215	182
541	215	181
542	215	181
543	215	180
544	216	180
545	216	179
546	216	179
547	216	178
548	217	178
549	217	177
550	217	177
551	217	176
552	218	176
553	218	175
554	218	175
555	218	174
556	219	174
557	219	173
558	219	173
559	219	172
560	220	172
561	220	171
562	220	171
563	220	170
564	220	170
565	221	169
566	221	169
567	221	168
568	221	168
569	222	167
570	222	167
571	222	166
572	222	166
573	223	165
574	223	165
575	223	164
576	223	164
577	224	163
578	224	163
579	224	162
580	224	162
581	224	161
582	225	161
583	225	160
584	225	160
585	225	159
586	226	159
587	226	158
588	226	158
589	226	157
590	227	157
591	227	156
592	227	156
593	227	155
594	227	155
595	228	154
596	228	154
597	228	153
598	228	153
599	229	152
600	229	152
601	229	151
602	229	151
603	230	150
604	230	150
605	230	149
606	230	149
607	231	148
608	231	148
609	231	148
610	231	147
611	232	147
612	232	146
613	232	146
614	232	145
615	232	145
616	233	144
617	233	144
618	233	143
619	233	143
620	234	142
621	234	142
622	234	141
623	234	141
624	235	141
625	235	140
626	235	140
627	235	139
628	235	139
629	236	138
630	236	138
631	236	137
632	236	137
633	237	136
634	237	136
635	237	135
636	237	135
637	238	135
638	238	134
639	238	134
640	238	133
641	238	133
642	239	132
643	239	132
644	239	131
645	239	131
646	240	131
647	240	130
648	240	130
649	240	129
650	241	129
651	241	128
652	241	128
653	241	127
654	242	127
655	242	127
656	242	126
657	242	126
658	243	125
659	243	125
660	243	124
661	243	124
662	243	124
663	244	123
664	244	123
665	244	122
666	244	122
667	245	121
668	245	121
669	245	120
670	245	120
671	246	120
672	246	119
673	246	119
674	246	118
675	247	118
676	247	117
677	247	117
678	247	117
679	248	116
680	248	116
681	248	115
682	248	115
683	249	115
684	249	114
685	249	114
686	249	113
687	249	113
688	250	112
689	250	112
690	250	112
691	250	111
692	251	111
693	251	110
694	251	110
695	251	109
696	252	109
697	252	109
698	252	108
699	252	108
700	253	107
701	253	107
702	253	107
703	253	106
704	254	106
705	254	105
706	254	105
707	254	105
708	254	104
709	255	104
710	255	103
711	255	103
712	255	102
713	256	102
714	256	102
715	256	101
716	256	101
717	257	100
718	257	100
719	257	100
720	257	99
721	258	99
722	258	98
723	258	98
724	258	98
725	258	97
726	259	97
727	259	96
728	259	96
729	259	96
730	260	95
731	260	95
732	260	94
733	260	94
734	261	94
735	261	93
736	261	93
737	261	92
738	262	92
739	262	92
740	262	91
741	262	91
742	263	90
743	263	90
744	263	90
745	263	89
746	264	89
747	264	89
748	264	88
749	264	88
750	265	87
751	265	87
752	265	87
753	265	86
754	265	86
755	266	85
756	266	85
757	266	85
758	266	84
759	267	84
760	267	83
761	267	83
762	267	83
763	268	82
764	268	82
765	268	82
766	268	81
767	268	81
768	269	80
769	269	80
770	269	80
771	269	79
772	270	79
773	270	78
774	270	78
775	270	78
776	271	77
777	271	77
778	271	77
779	271	76
780	271	76
781	272	75
782	272	75
783	272	75
784	272	74
785	273	74
786	273	73
787	273	73
788	273	73
789	274	72
790	274	72
791	274	72
792	274	71
793	275	71
794	275	70
795	275	70
796	275	70
797	276	69
798	276	69
799	276	69
800	276	68
801	276	68
802	277	68
803	277	67
804	277	67
805	277	66
806	278	66
807	278	66
808	278	65
809	278	65
810	279	65
811	279	64
812	279	64
813	279	63
814	280	63
815	280	63
816	280	62
817	280	62
818	280	62
819	281	61
820	281	61
821	281	60
822	281	60
823	282	60
824	282	59
825	282	59
826	282	59
827	283	58
828	283	58
829	283	58
830	283	57
831	284	57
832	284	56
833	284	56
834	284	56
835	284	55
836	285	55
837	285	55
838	285	54
839	285	54
840	286	54
841	286	53
842	286	53
843	286	53
844	287	52
845	287	52
846	287	51
847	287	51
848	287	51
849	288	50
850	288	50
851	288	50
852	288	49
853	289	49
854	289	49
855	289	48
856	289	48
857	290	48
858	290	47
859	290	47
860	290	46
861	291	46
862	291	46
863	291	45
864	291	45
865	291	45
866	292	44
867	292	44
868	292	44
869	292	43
870	293	43
871	293	43
872	293	42
873	293	42
874	294	42
875	294	41
876	294	41
877	294	40
878	295	40
879	295	40
880	295	39
881	295	39
882	295	39
883	296	38
884	296	38
885	296	38
886	296	37
887	297	37
888	297	37
889	297	36
890	297	36
891	297	36
892	298	35
893	298	35
894	298	35
895	298	34
896	299	34
897	299	34
898	299	33
899	299	33
900	300	32
901	300	32
902	300	32
903	300	31
904	301	31
905	301	31
906	301	30
907	301	30
908	301	30
909	302	29
910	302	29
911	302	29
912	302	28
913	303	28
914	303	28
915	303	27
916	303	27
917	304	27
918	304	26
919	304	26
920	304	26
921	305	25
922	305	25
923	305	25
924	305	24
925	305	24
926	306	24
927	306	23
928	306	23
929	306	23
930	307	22
931	307	22
932	307	22
933	307	21
934	307	21
935	308	21
936	308	20
937	308	20
938	308	20
939	309	19
940	309	19
941	309	19
942	309	18
943	310	18
944	310	18
945	310	17
946	310	17
947	311	17
948	311	16
949	311	16
950	311	16
951	311	15
952	312	15
953	312	15
954	312	14
955	312	14
956	313	14
957	313	13
958	313	13
959	313	13
960	314	12
961	314	12
962	314	12
963	314	11
964	315	11
965	315	11
966	315	10
967	315	10
968	316	10
969	316	9
970	316	9
971	316	9
972	316	8
973	317	8
974	317	8
975	317	7
976	317	7
977	318	7
978	318	6
979	318	6
980	318	6
981	319	5
982	319	5
983	319	5
984	319	4
985	320	4
986	320	4
987	320	3
988	320	3
989	320	3
990	321	2
991	321	2
992	321	2
993	321	1
994	322	1
995	322	1
996	322	0
997	322	0
998	323	0
999	323	0
